,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,124,139,148,164,172,182,183,190,193,195,201,215,227
Expenses +,102,117,126,138,144,150,149,156,160,162,166,179,189
Operating Profit,22,22,22,26,27,33,35,34,33,33,35,37,38
OPM %,18%,16%,15%,16%,16%,18%,19%,18%,17%,17%,17%,17%,17%
Other Income +,0,3,3,3,2,1,2,4,1,2,3,4,4
Interest,1,1,0,1,1,1,0,1,1,1,1,2,3
Depreciation,2,2,2,2,3,3,3,3,3,3,3,3,3
Profit before tax,20,22,23,26,27,30,33,34,30,31,34,35,36
Tax %,26%,21%,23%,25%,26%,16%,24%,25%,25%,26%,24%,26%,25%
Net Profit +,15,18,18,19,20,25,25,25,23,23,26,26,27
EPS in Rs,1.13,1.33,1.35,1.46,1.50,1.89,1.90,1.91,1.70,1.75,1.93,1.97,2.04
Raw PDF,,,,,,,,,,,,,
