,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,072","1,746","1,796","1,824","1,860","1,930","1,942","2,194","2,076","2,172","2,190","2,378","2,192"
Expenses +,"2,012","2,000","1,934","1,898","1,846","1,943","1,957","2,089","2,030","2,076","2,139","2,278","2,072"
Operating Profit,60,-254,-138,-75,13,-13,-16,105,46,96,51,100,119
OPM %,3%,-15%,-8%,-4%,1%,-1%,-1%,5%,2%,4%,2%,4%,5%
Other Income +,55,55,95,94,75,108,101,123,111,105,120,99,129
Interest,23,25,24,21,19,20,20,22,27,28,31,33,34
Depreciation,223,181,200,207,242,167,171,183,200,119,131,142,142
Profit before tax,-131,-405,-266,-209,-173,-92,-105,23,-71,53,9,24,72
Tax %,-8%,-1%,-5%,-6%,-8%,-3%,-2%,50%,-3%,-3%,-18%,-5%,-1%
Net Profit +,-120,-399,-254,-196,-159,-89,-103,12,-68,54,10,25,73
EPS in Rs,-1.87,-5.51,-3.50,-2.69,-2.18,-1.22,-1.40,0.16,-0.93,0.74,0.14,0.34,0.97
Raw PDF,,,,,,,,,,,,,
