,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,676.74,670.29,737.36,833.50,731.26,682.85,702.20,739.65,718.85,765.30,790.98,841.74,802.73
Expenses +,636.37,635.70,706.25,750.79,671.42,627.58,641.58,649.04,650.47,688.10,736.30,782.82,758.27
Operating Profit,40.37,34.59,31.11,82.71,59.84,55.27,60.62,90.61,68.38,77.20,54.68,58.92,44.46
OPM %,5.97%,5.16%,4.22%,9.92%,8.18%,8.09%,8.63%,12.25%,9.51%,10.09%,6.91%,7.00%,5.54%
Other Income +,0.07,2.35,-3.17,1.06,0.19,5.60,3.26,-0.58,1.50,-6.50,-0.35,2.51,-4.75
Interest,7.98,9.06,9.03,9.32,10.42,10.86,11.77,10.10,10.19,12.59,13.21,12.85,13.62
Depreciation,20.27,16.54,21.83,22.63,23.74,23.34,24.09,25.71,26.52,27.51,29.36,30.67,31.67
Profit before tax,12.19,11.34,-2.92,51.82,25.87,26.67,28.02,54.22,33.17,30.60,11.76,17.91,-5.58
Tax %,26.17%,29.72%,-23.63%,26.30%,24.47%,16.31%,25.20%,27.98%,27.56%,22.48%,43.54%,42.77%,7.89%
Net Profit +,9.00,7.97,-2.23,38.19,19.54,22.32,20.96,39.05,24.03,23.72,6.64,10.25,-6.02
EPS in Rs,11.79,10.47,-2.86,49.91,25.56,29.21,27.36,51.09,31.47,31.06,8.72,13.46,-7.80
Raw PDF,,,,,,,,,,,,,
