,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,364,"1,139",366,154,288,735,501,431,549,372,147,16,181
Expenses +,457,903,420,268,332,688,565,451,513,398,196,83,224
Operating Profit,-93,235,-54,-114,-44,47,-64,-19,36,-25,-49,-67,-43
OPM %,-26%,21%,-15%,-74%,-15%,6%,-13%,-5%,7%,-7%,-33%,-417%,-24%
Other Income +,17,19,19,20,19,22,13,11,12,15,11,13,11
Interest,2,5,2,2,2,7,5,2,4,3,2,6,4
Depreciation,8,8,7,7,7,4,6,7,7,7,8,10,11
Profit before tax,-87,241,-44,-103,-34,58,-62,-18,37,-21,-49,-70,-47
Tax %,-24%,20%,0%,-0%,0%,-43%,-6%,19%,-6%,104%,4%,-1%,1%
Net Profit +,-66,194,-44,-102,-34,82,-58,-21,39,-43,-51,-69,-48
EPS in Rs,-1.09,3.19,-0.72,-1.68,-0.56,1.35,-0.95,-0.35,0.64,-0.71,-0.83,-1.14,-0.79
Raw PDF,,,,,,,,,,,,,
