,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,012","2,103","2,299","2,441","2,512","2,657","2,764","2,881","2,910","2,994","3,124","3,210","3,213"
Interest,"1,037","1,069","1,095","1,183","1,262","1,374","1,430","1,600","1,604","1,625","1,687","1,697","1,732"
Expenses +,800,"1,003",945,984,793,"1,062",982,906,705,954,980,996,"1,078"
Financing Profit,176,31,259,274,457,221,352,375,602,415,456,516,404
Financing Margin %,9%,1%,11%,11%,18%,8%,13%,13%,21%,14%,15%,16%,13%
Other Income +,-56,205,148,244,168,230,193,186,229,198,301,242,406
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,120,236,407,518,625,452,545,561,830,614,757,758,810
Tax %,6%,30%,40%,40%,24%,28%,30%,25%,23%,32%,27%,30%,28%
Net Profit +,119,161,240,307,473,331,384,423,633,418,553,529,582
EPS in Rs,1.27,1.67,2.49,3.19,4.58,3.21,3.72,3.84,5.75,3.80,5.02,4.80,5.28
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
