,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,61,41,56,61,65,48,61,64,80,84,87,86,108
Expenses +,44,30,42,47,48,38,46,52,67,59,64,64,80
Operating Profit,18,11,14,14,17,11,16,12,12,24,23,22,28
OPM %,29%,28%,25%,23%,26%,22%,25%,19%,15%,29%,26%,26%,26%
Other Income +,1,1,1,5,1,1,1,1,6,1,2,2,4
Interest,2,0,1,4,2,1,1,2,2,2,3,1,2
Depreciation,3,3,3,3,3,3,3,3,3,4,4,4,4
Profit before tax,14,9,12,13,13,8,12,8,12,20,18,19,27
Tax %,28%,27%,30%,29%,8%,26%,28%,30%,21%,28%,30%,28%,22%
Net Profit +,10,7,8,9,12,6,9,6,10,14,13,14,21
EPS in Rs,2.64,1.81,2.17,2.50,2.76,1.54,2.42,1.71,2.56,3.81,3.55,3.73,4.89
Raw PDF,,,,,,,,,,,,,
