,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,437,511,498,492,556,614,652,673,753,836,734,757,875
Expenses +,397,463,457,447,494,541,570,584,650,706,636,648,740
Operating Profit,39,47,41,45,62,73,82,89,103,130,99,109,135
OPM %,9%,9%,8%,9%,11%,12%,13%,13%,14%,16%,13%,14%,15%
Other Income +,3,5,24,6,8,3,16,17,23,21,28,34,30
Interest,2,4,2,2,3,3,3,4,6,11,7,9,8
Depreciation,4,4,5,4,4,5,5,5,6,7,7,7,7
Profit before tax,37,44,59,45,62,68,90,97,114,133,112,127,149
Tax %,26%,20%,23%,25%,25%,31%,25%,24%,23%,26%,25%,25%,25%
Net Profit +,27,35,45,34,47,47,68,74,88,98,84,95,112
EPS in Rs,2.30,2.97,3.65,2.85,3.90,4.00,5.67,6.21,7.41,8.27,7.07,7.96,9.38
Raw PDF,,,,,,,,,,,,,
