,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,810,791,859,928,846,"1,067","1,197","1,236","1,261","1,077","1,191","1,106","1,004"
Expenses +,258,276,279,313,459,473,535,430,580,462,700,500,426
Operating Profit,552,515,580,615,387,594,663,806,681,615,491,607,578
OPM %,68%,65%,67%,66%,46%,56%,55%,65%,54%,57%,41%,55%,58%
Other Income +,30,14,18,19,26,14,17,25,-831,17,21,14,23
Interest,250,261,270,301,347,366,388,400,407,370,343,318,274
Depreciation,10,10,10,10,12,12,13,14,14,16,15,16,16
Profit before tax,322,259,318,322,54,230,278,417,-572,245,154,287,311
Tax %,29%,24%,25%,25%,40%,24%,26%,23%,18%,24%,6%,28%,25%
Net Profit +,228,198,238,240,32,177,206,322,-674,187,144,207,235
EPS in Rs,1.87,1.78,1.89,1.99,0.60,1.74,2.04,2.91,-2.39,1.79,2.43,2.19,2.19
Raw PDF,,,,,,,,,,,,,
