,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,1,12,689,"1,176","1,153","1,106","1,268","1,615","1,880","1,294","2,494","1,801","1,921"
Expenses +,6,23,901,"1,165","1,167","1,220","1,266","1,393","1,630","1,349","1,463","2,038","2,086"
Operating Profit,-5,-11,-212,10,-14,-115,2,222,250,-55,"1,031",-237,-165
OPM %,-816%,-92%,-31%,1%,-1%,-10%,0%,14%,13%,-4%,41%,-13%,-9%
Other Income +,0,579,3,106,4,3,205,-47,0,6,4,0,0
Interest,0,2,4,8,16,21,24,29,32,29,26,30,23
Depreciation,0,1,2,2,2,4,4,4,5,4,4,4,4
Profit before tax,-6,565,-215,106,-28,-137,179,142,213,-81,"1,005",-270,-192
Tax %,-1%,0%,1%,3%,25%,1%,0%,1%,12%,0%,15%,-11%,-11%
Net Profit +,-6,565,-216,103,-35,-138,178,140,187,-82,851,-242,-170
EPS in Rs,-0.04,4.09,-1.56,0.75,-0.25,-1.00,1.29,1.02,1.36,-0.59,6.16,-1.75,-1.23
Raw PDF,,,,,,,,,,,,,
