,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,485,574,532,634,560,619,660,693,713,746,744,763,728
Expenses +,411,481,441,528,471,522,546,575,592,619,616,631,601
Operating Profit,75,94,91,106,89,96,114,118,121,127,127,133,127
OPM %,15%,16%,17%,17%,16%,16%,17%,17%,17%,17%,17%,17%,17%
Other Income +,1,6,1,2,4,4,0,1,1,0,0,4,7
Interest,13,15,14,14,16,17,19,18,18,23,19,23,18
Depreciation,31,33,31,32,33,35,35,37,38,40,40,43,44
Profit before tax,32,53,48,63,44,49,61,64,67,65,69,71,71
Tax %,25%,29%,27%,25%,29%,27%,26%,25%,27%,29%,27%,27%,22%
Net Profit +,24,37,35,47,31,35,45,48,48,46,50,52,56
EPS in Rs,4.48,7.17,6.48,8.68,5.87,6.64,8.39,8.81,8.96,8.59,9.18,9.38,8.99
Raw PDF,,,,,,,,,,,,,
