,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,786,"1,154","1,745","3,003"
Expenses +,765,"1,117","1,668","2,845"
Operating Profit,20,37,78,159
OPM %,3%,3%,4%,5%
Other Income +,11,1,4,30
Interest,8,11,21,37
Depreciation,1,1,6,9
Profit before tax,22,25,54,142
Tax %,22%,26%,25%,
Net Profit +,17,19,40,108
EPS in Rs,1.58,1.73,3.06,7.81
Dividend Payout %,0%,12%,3%,
