,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,210,196,245,233,272,235,201,214,217,199,275,281,343
Expenses +,186,176,216,212,231,219,188,198,200,195,245,246,301
Operating Profit,24,20,29,20,41,16,13,17,17,4,30,35,41
OPM %,11%,10%,12%,9%,15%,7%,6%,8%,8%,2%,11%,12%,12%
Other Income +,3,7,6,1,4,5,5,2,3,4,4,10,3
Interest,8,7,10,9,10,6,3,4,4,4,4,5,4
Depreciation,5,5,5,5,5,5,6,6,6,7,7,7,8
Profit before tax,14,14,20,8,30,10,9,9,10,-2,23,33,33
Tax %,24%,36%,27%,27%,25%,32%,15%,27%,29%,14%,25%,27%,25%
Net Profit +,11,9,15,6,23,7,7,7,7,-2,17,24,24
EPS in Rs,667.50,1.66,2.64,1.01,3.92,1.08,1.11,1.00,1.07,-0.35,2.65,3.63,3.67
Raw PDF,,,,,,,,,,,,,
