,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,385,254,216,314,183,113,153,496,609,568,635,649,665
Expenses +,348,233,204,292,172,105,138,425,479,432,486,494,501
Operating Profit,36,21,12,22,11,8,15,71,131,136,149,154,164
OPM %,9%,8%,6%,7%,6%,7%,10%,14%,21%,24%,23%,24%,25%
Other Income +,2,1,1,1,1,1,1,1,1,3,6,4,4
Interest,5,6,6,3,4,3,4,5,8,8,11,12,13
Depreciation,5,5,5,5,4,5,5,5,5,5,5,5,5
Profit before tax,29,12,3,15,3,1,7,63,119,126,138,142,150
Tax %,23%,26%,30%,24%,24%,-41%,21%,28%,25%,26%,27%,26%,27%
Net Profit +,22,9,2,11,2,1,6,45,90,93,101,104,110
EPS in Rs,1.99,0.79,0.17,1.02,0.20,0.09,0.53,4.10,7.46,7.71,8.44,8.66,9.17
Raw PDF,,,,,,,,,,,,,
