,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,059","1,018",987,982,"1,139","1,215","1,134","1,165","1,343","1,477","1,294","1,269","1,538"
Expenses +,947,936,913,915,"1,042","1,110","1,041","1,064","1,215","1,321","1,184","1,165","1,395"
Operating Profit,112,82,73,67,97,105,92,102,128,156,110,104,143
OPM %,11%,8%,7%,7%,9%,9%,8%,9%,10%,11%,9%,8%,9%
Other Income +,3,5,3,5,4,12,14,3,5,7,4,5,4
Interest,2,2,2,2,10,11,9,9,10,9,8,6,3
Depreciation,13,14,15,17,19,20,20,19,22,22,22,25,27
Profit before tax,100,72,59,53,72,86,78,76,101,132,85,79,118
Tax %,10%,26%,26%,26%,27%,25%,24%,24%,24%,25%,25%,24%,23%
Net Profit +,90,53,44,39,53,64,59,58,76,99,63,60,91
EPS in Rs,2.08,1.24,1.01,0.91,1.22,1.48,1.36,1.34,1.75,2.28,1.46,1.38,2.09
Raw PDF,,,,,,,,,,,,,
