,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,88,89,111,118,118,124,127,128,126,128,126,127,123
Expenses +,68,70,85,91,91,96,97,99,101,106,102,100,99
Operating Profit,21,19,25,27,27,28,30,29,25,22,24,27,25
OPM %,23%,22%,23%,23%,23%,23%,24%,23%,20%,17%,19%,21%,20%
Other Income +,3,3,6,3,1,2,2,2,2,16,4,3,4
Interest,1,1,2,2,2,2,1,1,1,1,1,1,1
Depreciation,2,2,2,3,3,3,3,3,3,3,3,3,3
Profit before tax,21,19,28,26,23,26,28,27,23,33,24,27,24
Tax %,26%,24%,21%,26%,28%,16%,24%,26%,26%,23%,24%,25%,25%
Net Profit +,16,14,22,19,17,22,21,20,17,26,18,20,18
EPS in Rs,2.69,2.51,3.77,3.34,2.89,3.73,3.69,3.53,2.94,4.46,3.09,3.46,3.17
Raw PDF,,,,,,,,,,,,,
