,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,457,215,286,236,407,195,302,319,400,210,297,316,415
Expenses +,383,196,256,222,379,184,270,286,360,192,269,278,370
Operating Profit,74,18,29,14,27,11,32,33,40,18,29,38,46
OPM %,16%,9%,10%,6%,7%,6%,11%,10%,10%,9%,10%,12%,11%
Other Income +,4,6,3,3,5,3,4,4,1,5,4,4,4
Interest,6,6,6,6,5,5,5,5,5,5,5,6,5
Depreciation,3,3,3,3,3,3,4,4,4,4,4,4,4
Profit before tax,68,15,23,8,24,6,28,28,33,14,24,33,42
Tax %,28%,17%,25%,27%,22%,29%,26%,26%,26%,27%,24%,28%,26%
Net Profit +,49,12,17,6,19,4,21,21,24,10,18,24,31
EPS in Rs,6.20,1.57,2.12,0.69,2.38,0.53,2.58,2.61,3.05,1.32,2.32,2.99,3.85
Raw PDF,,,,,,,,,,,,,
