,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,401,102,145,418,547,654
Expenses +,376,86,127,348,457,562
Operating Profit,24,16,18,70,90,92
OPM %,6%,16%,12%,17%,16%,14%
Other Income +,2,6,4,3,14,10
Interest,5,3,1,2,3,2
Depreciation,19,14,8,12,19,21
Profit before tax,3,4,13,58,82,79
Tax %,39%,26%,24%,25%,24%,24%
Net Profit +,2,3,10,44,63,60
EPS in Rs,"3,233.33","5,000.00","16,450.00","72,650.00",10.42,10.02
Dividend Payout %,0%,0%,0%,0%,0%,24%
