,Mar 2024,TTM
Sales +,807,810
Expenses +,658,667
Operating Profit,148,143
OPM %,18%,18%
Other Income +,-0,4
Interest,15,18
Depreciation,17,18
Profit before tax,116,111
Tax %,26%,
Net Profit +,86,82
EPS in Rs,8.59,8.18
Dividend Payout %,1%,
