,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,371,389,467,513,680,601,712,707,"1,143","1,160",833,870,932
Expenses +,346,356,420,466,623,564,663,667,"1,059","1,115",762,790,817
Operating Profit,25,34,47,46,57,37,49,39,83,45,71,80,116
OPM %,7%,9%,10%,9%,8%,6%,7%,6%,7%,4%,9%,9%,12%
Other Income +,8,2,8,13,24,22,8,12,7,15,10,20,14
Interest,3,5,6,6,4,8,8,11,13,13,14,15,16
Depreciation,7,7,7,8,9,10,12,14,16,17,17,20,21
Profit before tax,24,24,42,45,68,41,37,27,61,29,51,64,93
Tax %,30%,28%,31%,24%,37%,31%,17%,25%,26%,31%,22%,17%,23%
Net Profit +,17,17,29,34,43,28,31,20,45,20,40,53,71
EPS in Rs,1.19,1.10,1.60,1.88,2.39,1.61,1.60,0.87,1.97,1.09,2.04,2.75,3.68
Raw PDF,,,,,,,,,,,,,
