,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,471,431,523,556,573,427,362,473,539,422,398,431,502
Expenses +,392,343,383,406,416,331,273,386,472,374,368,424,477
Operating Profit,79,88,140,150,157,95,89,88,68,48,31,8,25
OPM %,17%,20%,27%,27%,27%,22%,25%,19%,13%,11%,8%,2%,5%
Other Income +,7,5,13,11,10,13,18,15,17,15,19,21,20
Interest,1,1,1,1,1,0,0,0,1,1,1,2,4
Depreciation,11,12,12,12,10,11,11,11,11,11,11,11,11
Profit before tax,75,81,141,148,156,96,96,91,74,50,37,16,29
Tax %,24%,25%,24%,25%,24%,25%,24%,24%,23%,26%,23%,-4%,8%
Net Profit +,57,60,106,112,118,72,73,69,57,37,28,17,27
EPS in Rs,8.98,9.56,16.85,17.69,18.66,11.38,11.61,10.94,9.01,5.87,4.51,2.64,4.29
Raw PDF,,,,,,,,,,,,,
