,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,595,485,599,699,653,691,940
Expenses +,512,427,527,609,554,617,852
Operating Profit,83,58,72,90,99,74,87
OPM %,14%,12%,12%,13%,15%,11%,9%
Other Income +,3,2,2,2,6,1,3
Interest,1,1,1,1,1,1,3
Depreciation,9,9,9,9,10,10,24
Profit before tax,76,50,64,82,94,64,63
Tax %,26%,30%,23%,26%,26%,26%,11%
Net Profit +,56,35,49,61,70,48,56
EPS in Rs,32.08,19.88,28.07,34.80,39.86,27.12,31.94
Raw PDF,,,,,,,
