,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,509,508,552,614,573,510,530,574,512,741,671,699,728
Expenses +,442,439,465,525,505,444,471,513,456,664,605,641,665
Operating Profit,68,69,86,89,68,66,58,61,56,77,66,58,63
OPM %,13%,14%,16%,14%,12%,13%,11%,11%,11%,10%,10%,8%,9%
Other Income +,1,3,1,1,1,3,5,4,2,5,2,3,4
Interest,2,1,2,3,3,4,4,4,4,5,4,6,4
Depreciation,2,2,2,2,2,2,2,2,2,3,3,3,4
Profit before tax,65,69,83,85,64,63,57,58,52,74,61,53,59
Tax %,17%,18%,22%,21%,21%,19%,19%,20%,20%,17%,18%,16%,18%
Net Profit +,54,56,65,67,50,51,46,47,41,61,50,44,48
EPS in Rs,8.95,9.29,10.68,11.15,8.29,8.40,7.59,7.76,6.84,10.08,8.29,7.29,8.02
Raw PDF,,,,,,,,,,,,,
