,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,587,569,636,459,717,521,639,451,708,535,677,553,818
Expenses +,480,494,571,427,675,492,584,417,632,491,613,503,741
Operating Profit,107,75,65,33,42,28,55,34,76,45,65,50,77
OPM %,18%,13%,10%,7%,6%,5%,9%,8%,11%,8%,10%,9%,9%
Other Income +,6,3,3,3,10,5,4,3,9,10,14,4,2
Interest,7,5,6,7,6,6,5,5,4,4,5,5,6
Depreciation,5,5,5,5,5,6,6,6,4,6,6,6,7
Profit before tax,101,68,56,24,41,21,48,26,76,45,68,43,66
Tax %,28%,26%,27%,31%,27%,29%,25%,26%,28%,26%,24%,26%,27%
Net Profit +,73,50,41,17,30,15,36,19,55,33,52,32,48
EPS in Rs,24.53,16.87,13.97,6.01,10.38,5.55,12.33,6.72,18.47,11.30,17.02,10.66,15.99
Raw PDF,,,,,,,,,,,,,
