,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,146,346,265,190,264,301,252,153,197,266
Expenses +,130,315,247,167,233,261,227,168,228,282
Operating Profit,16,31,18,23,31,40,25,-15,-31,-16
OPM %,11%,9%,7%,12%,12%,13%,10%,-10%,-16%,-6%
Other Income +,0,8,4,8,2,5,7,14,6,3
Interest,5,8,5,5,6,4,3,9,16,15
Depreciation,4,5,4,4,5,5,5,7,11,33
Profit before tax,7,26,13,23,22,35,24,-16,-52,-61
Tax %,8%,-5%,28%,21%,59%,22%,24%,9%,-6%,1%
Net Profit +,6,28,10,18,9,27,18,-17,-49,-62
EPS in Rs,8.95,38.19,13.33,1.93,0.97,2.27,1.51,-1.41,-4.05,-5.15
Raw PDF,,,,,,,,,,
