,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,307.70,320.91,310.96,323.72,313.21,367.88,362.51,350.90,345.51,370.41,346.28,361.42,315.43
Expenses +,264.70,272.68,268.68,276.15,271.26,318.42,325.51,312.03,304.82,327.56,306.23,320.38,276.14
Operating Profit,43.00,48.23,42.28,47.57,41.95,49.46,37.00,38.87,40.69,42.85,40.05,41.04,39.29
OPM %,13.97%,15.03%,13.60%,14.69%,13.39%,13.44%,10.21%,11.08%,11.78%,11.57%,11.57%,11.36%,12.46%
Other Income +,0.34,4.96,0.64,0.99,0.97,7.16,37.89,7.92,8.88,50.44,3.01,7.49,-0.28
Interest,13.24,16.91,14.76,16.54,18.96,15.12,12.90,15.76,16.37,17.52,14.02,14.72,14.00
Depreciation,19.67,19.52,18.45,18.63,16.80,16.54,15.90,15.94,17.24,17.28,17.33,17.77,16.94
Profit before tax,10.43,16.76,9.71,13.39,7.16,24.96,46.09,15.09,15.96,58.49,11.71,16.04,8.07
Tax %,23.11%,10.38%,15.86%,25.02%,1.96%,29.65%,10.26%,19.81%,29.57%,2.36%,2.73%,25.00%,56.26%
Net Profit +,8.02,15.02,8.17,10.04,7.02,17.56,41.36,12.10,11.24,57.11,11.39,12.03,3.53
EPS in Rs,12.65,23.69,12.88,15.83,11.07,27.69,65.22,19.08,17.72,90.06,17.96,18.97,5.57
Raw PDF,,,,,,,,,,,,,
