,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,116","1,094","1,260","1,283","1,223","1,325","1,453","1,568"
Expenses +,852,860,"1,000",976,"1,029","1,024","1,061","1,195"
Operating Profit,264,234,260,307,194,301,392,373
OPM %,24%,21%,21%,24%,16%,23%,27%,24%
Other Income +,11,29,6,5,24,15,44,10
Interest,47,48,47,43,37,30,30,30
Depreciation,166,171,176,176,110,126,116,114
Profit before tax,62,43,44,93,71,160,290,239
Tax %,31%,19%,-62%,14%,69%,27%,25%,24%
Net Profit +,42,35,71,80,22,117,217,183
EPS in Rs,0.22,0.18,0.37,0.19,0.05,0.25,0.46,0.39
Raw PDF,,,,,,,,
