,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,242,288,285,287,307,299,311,321,273,316,311,300,260
Expenses +,190,222,221,224,239,235,241,253,221,244,240,234,209
Operating Profit,52,66,64,64,68,65,70,67,53,72,71,66,51
OPM %,22%,23%,22%,22%,22%,22%,22%,21%,19%,23%,23%,22%,20%
Other Income +,1,6,7,5,7,0,2,4,5,-28,5,9,-15
Interest,2,5,4,2,4,0,1,1,0,1,0,1,0
Depreciation,7,6,6,7,7,7,7,7,7,12,9,10,10
Profit before tax,44,60,61,60,65,57,65,63,50,31,67,65,27
Tax %,32%,35%,18%,19%,19%,19%,26%,26%,26%,25%,25%,24%,24%
Net Profit +,30,39,50,49,53,46,48,47,37,24,50,49,20
EPS in Rs,10.95,14.34,18.26,18.06,19.38,17.04,17.79,17.24,13.59,8.67,18.33,18.09,7.41
Raw PDF,,,,,,,,,,,,,
