,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,129,237,194,248,242,197,163,167,158,174,128,136,140
Expenses +,124,248,215,234,245,202,155,176,168,184,146,147,144
Operating Profit,5,-11,-21,14,-3,-4,8,-9,-11,-9,-18,-11,-4
OPM %,4%,-5%,-11%,6%,-1%,-2%,5%,-5%,-7%,-5%,-14%,-8%,-3%
Other Income +,162,241,115,63,61,65,55,68,49,108,61,125,67
Interest,17,21,26,34,39,42,37,37,30,30,30,27,25
Depreciation,2,2,2,3,3,3,3,3,2,5,6,2,3
Profit before tax,148,207,66,40,17,16,23,19,6,64,7,85,36
Tax %,3%,39%,38%,21%,17%,25%,32%,20%,16%,43%,23%,-9%,36%
Net Profit +,143,125,40,32,14,12,16,15,5,36,5,92,23
EPS in Rs,28.90,25.23,8.14,6.45,2.78,2.45,3.17,3.11,1.00,7.31,1.10,18.64,4.66
Raw PDF,,,,,,,,,,,,,
