,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,409","2,140","2,320","2,941","3,774","3,423","3,462","3,954","3,917","3,433","3,590","3,821","4,417"
Expenses +,"1,870","1,783","1,877","2,352","2,817","2,741","2,745","3,051","3,004","2,812","2,905","3,070","3,339"
Operating Profit,539,356,442,589,957,681,717,903,913,620,685,752,"1,078"
OPM %,22%,17%,19%,20%,25%,20%,21%,23%,23%,18%,19%,20%,24%
Other Income +,26,78,48,-193,152,94,134,587,40,"1,166",58,53,57
Interest,10,20,30,120,249,233,248,267,227,236,226,223,212
Depreciation,212,218,231,301,364,358,389,414,407,405,420,425,436
Profit before tax,342,197,229,-26,497,184,214,808,319,"1,146",98,156,487
Tax %,17%,15%,64%,-19%,17%,19%,19%,7%,30%,25%,72%,48%,6%
Net Profit +,284,167,82,-21,414,149,173,753,223,862,27,81,459
EPS in Rs,1.99,1.20,0.39,-0.35,2.61,0.84,1.05,5.50,1.13,5.49,-0.13,0.21,2.87
Raw PDF,,,,,,,,,,,,,
