,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,884,"1,098",987,"1,070","1,001","1,103",939,995,935,"1,005",962
Expenses +,789,"1,028",940,986,925,"1,018",906,934,895,964,928
Operating Profit,95,70,47,84,76,85,34,60,40,42,34
OPM %,11%,6%,5%,8%,8%,8%,4%,6%,4%,4%,3%
Other Income +,2,16,6,1,2,2,5,5,2,2,4
Interest,10,19,14,13,15,16,14,13,11,10,14
Depreciation,4,4,5,5,5,5,6,6,6,6,7
Profit before tax,83,63,34,67,58,66,19,46,25,27,17
Tax %,21%,21%,18%,19%,18%,23%,37%,29%,26%,24%,27%
Net Profit +,65,49,28,54,48,51,12,33,18,20,12
EPS in Rs,8.13,5.42,2.77,5.59,4.91,4.83,0.93,3.15,1.86,1.98,1.19
Raw PDF,,,,,,,,,,,
