,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,298,305,145,186,185,313,274,462,327,440,375,441,636
Expenses +,257,268,123,153,162,306,253,385,270,385,323,371,546
Operating Profit,40,37,22,32,23,7,21,78,56,54,52,70,90
OPM %,14%,12%,15%,17%,13%,2%,8%,17%,17%,12%,14%,16%,14%
Other Income +,113,-0,28,42,20,78,29,29,45,31,68,39,44
Interest,2,2,1,1,2,6,4,4,4,4,2,2,3
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,150,33,48,71,40,77,44,101,95,79,117,105,129
Tax %,24%,-13%,25%,17%,21%,21%,42%,27%,4%,2%,16%,11%,26%
Net Profit +,115,37,36,59,31,61,25,74,92,78,98,94,96
EPS in Rs,10.44,3.38,3.23,5.35,2.90,5.65,2.35,6.86,8.54,7.21,9.12,8.10,8.25
Raw PDF,,,,,,,,,,,,,
