,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,960","3,272","9,316","8,896","9,929","9,168","10,165","12,356","14,888","11,799","13,372","8,923","12,376"
Expenses +,"8,799","3,185","9,238","8,573","9,865","9,043","10,021","12,146","14,945","11,610","13,201","8,834","12,356"
Operating Profit,161,87,78,322,64,125,144,209,-57,189,172,89,20
OPM %,2%,3%,1%,4%,1%,1%,1%,2%,-0%,2%,1%,1%,0%
Other Income +,3,4,6,3,5,3,25,4,10,3,4,3,18
Interest,9,9,9,9,9,9,9,14,11,9,13,10,15
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,153,80,74,315,58,118,158,198,-59,182,162,81,22
Tax %,6%,15%,17%,14%,10%,14%,-8%,14%,-15%,14%,14%,14%,-73%
Net Profit +,144,68,62,269,52,101,170,171,-50,156,139,70,38
EPS in Rs,3.41,1.63,1.49,6.52,1.33,2.54,4.29,4.30,-1.28,3.69,3.26,1.62,0.91
Raw PDF,,,,,,,,,,,,,
