,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,109,90,82,135,126,109,86,89,107,83,73,91,91
Expenses +,64,57,49,82,80,69,51,55,67,57,46,61,66
Operating Profit,45,32,33,53,46,40,35,34,41,26,27,29,26
OPM %,41%,36%,40%,39%,36%,37%,41%,39%,38%,31%,37%,32%,28%
Other Income +,4,-3,1,6,8,7,11,10,12,11,11,15,10
Interest,2,1,1,1,2,2,2,1,2,1,1,1,2
Depreciation,4,4,5,6,6,6,6,6,5,5,5,4,5
Profit before tax,44,25,28,52,47,39,39,38,45,31,32,39,29
Tax %,26%,25%,27%,24%,26%,25%,26%,17%,2%,23%,25%,39%,20%
Net Profit +,32,19,20,39,35,29,29,31,44,24,24,24,23
EPS in Rs,2.93,1.68,1.81,3.52,3.12,2.63,2.59,2.81,3.98,2.13,2.13,2.17,2.09
Raw PDF,,,,,,,,,,,,,
