,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,463,486,733,893,"1,070","1,262"
Expenses +,379,419,580,691,831,965
Operating Profit,84,67,153,201,238,297
OPM %,18%,14%,21%,23%,22%,24%
Other Income +,0,4,4,8,26,29
Interest,26,39,44,42,26,11
Depreciation,26,31,36,39,42,57
Profit before tax,33,2,77,129,195,258
Tax %,10%,248%,34%,43%,10%,25%
Net Profit +,30,-2,51,73,177,194
EPS in Rs,5.83,-0.45,10.05,12.90,26.94,29.47
Dividend Payout %,0%,0%,0%,0%,4%,3%
