,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,331","1,464","1,462","1,330","1,312","1,382","1,377","1,177","1,239","1,258","1,263","1,262","1,107"
Expenses +,"1,244","1,383","1,424","1,256","1,691","1,305","1,307","1,114","1,156","1,187","1,187","1,190","1,042"
Operating Profit,88,82,38,75,-379,77,70,62,83,71,76,72,65
OPM %,7%,6%,3%,6%,-29%,6%,5%,5%,7%,6%,6%,6%,6%
Other Income +,7,3,22,7,554,3,3,6,4,4,3,2,6
Interest,44,43,46,51,38,33,33,34,31,32,33,32,33
Depreciation,11,11,12,14,15,12,12,12,12,11,14,13,13
Profit before tax,39,31,3,16,123,34,28,22,43,32,33,29,24
Tax %,-37%,19%,8%,-19%,-2%,9%,16%,12%,33%,23%,22%,49%,55%
Net Profit +,54,25,2,19,125,31,23,19,29,24,26,15,11
EPS in Rs,3.81,1.75,0.17,1.30,8.68,2.14,1.61,1.34,2.01,1.68,1.78,1.03,0.75
Raw PDF,,,,,,,,,,,,,
