,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,481","3,995","4,239","4,148","4,407","4,218","3,998","3,730","3,475","3,789","3,999","3,590","3,509"
Expenses +,"2,824","2,980","3,319","3,317","3,442","3,175","3,191","3,188","3,032","3,215","3,381","3,156","3,182"
Operating Profit,657,"1,015",920,831,965,"1,043",807,542,443,574,618,434,327
OPM %,19%,25%,22%,20%,22%,25%,20%,15%,13%,15%,15%,12%,9%
Other Income +,105,71,102,30,86,67,187,98,-861,116,152,-10,29
Interest,69,80,86,107,133,123,145,132,130,133,145,148,137
Depreciation,205,213,218,227,234,229,234,246,271,273,277,280,293
Profit before tax,488,793,718,527,684,758,615,262,-819,284,348,-4,-74
Tax %,9%,20%,5%,19%,-1%,23%,20%,26%,3%,33%,23%,425%,-34%
Net Profit +,445,637,680,425,692,587,495,194,-841,190,267,-21,-49
EPS in Rs,17.19,23.12,24.65,15.35,27.83,20.88,16.80,6.20,-33.36,5.89,7.61,-2.08,-2.20
Raw PDF,,,,,,,,,,,,,
