,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,886,"1,128","1,351","1,394","1,402","1,468"
Expenses +,800,"1,067","1,256","1,198","1,233","1,363"
Operating Profit,86,60,95,196,168,105
OPM %,10%,5%,7%,14%,12%,7%
Other Income +,2,1,4,4,4,-42
Interest,8,11,14,11,5,3
Depreciation,21,24,31,37,36,33
Profit before tax,58,26,54,152,132,27
Tax %,24%,20%,23%,26%,24%,30%
Net Profit +,44,21,42,112,100,19
EPS in Rs,389.57,186.44,366.70,9.02,7.99,1.52
Dividend Payout %,0%,0%,0%,0%,3%,66%
