,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,289,218,239,371,337,204,198,265,278,151,204,324,462
Expenses +,252,192,177,310,505,148,141,197,259,139,206,272,386
Operating Profit,37,25,62,61,-167,56,57,69,19,12,-2,52,77
OPM %,13%,12%,26%,16%,-50%,28%,29%,26%,7%,8%,-1%,16%,17%
Other Income +,0,1,1,1,1,1,0,1,1,1,23,16,-1
Interest,3,4,6,13,7,7,7,8,7,7,17,12,17
Depreciation,33,38,28,35,49,35,33,34,39,37,38,39,38
Profit before tax,1,-15,29,14,-223,16,17,28,-26,-31,-33,17,21
Tax %,17%,2%,1%,3%,0%,3%,4%,2%,1%,1%,2%,4%,-1%
Net Profit +,1,-16,29,14,-223,15,17,27,-26,-31,-34,16,21
EPS in Rs,0.38,-5.61,10.22,4.94,-79.62,5.41,5.99,9.72,-9.28,-11.21,-11.97,5.74,7.64
Raw PDF,,,,,,,,,,,,,
