,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,79,109,97,109,122,127,146,140,167,151,156,208,267
Expenses +,44,74,49,52,47,50,58,54,52,76,83,132,161
Operating Profit,36,36,48,57,75,77,88,86,115,74,73,76,107
OPM %,45%,33%,49%,52%,61%,60%,60%,62%,69%,49%,47%,37%,40%
Other Income +,8,22,4,15,6,5,6,5,6,20,8,6,7
Interest,5,4,3,4,4,5,5,7,7,6,6,6,7
Depreciation,29,29,29,31,31,31,33,34,32,33,33,31,31
Profit before tax,10,25,19,38,46,46,56,50,82,56,42,45,75
Tax %,11%,25%,25%,23%,25%,26%,26%,26%,25%,27%,30%,26%,28%
Net Profit +,9,19,14,29,35,34,42,37,61,40,29,33,54
EPS in Rs,1.02,2.15,1.67,3.34,4.01,3.92,4.83,4.30,7.08,4.68,3.36,3.82,6.22
Raw PDF,,,,,,,,,,,,,
