,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,123,102,112,114,111,110,144,152,208,181,218,172,177
Expenses +,69,65,72,77,78,78,87,94,127,105,124,109,125
Operating Profit,54,37,40,38,33,32,57,58,81,76,94,63,52
OPM %,44%,36%,36%,33%,30%,29%,39%,38%,39%,42%,43%,37%,29%
Other Income +,1,0,0,2,6,6,2,2,0,0,0,0,1
Interest,2,2,1,2,3,2,3,5,7,9,11,8,5
Depreciation,6,7,7,7,8,7,7,7,8,7,8,8,8
Profit before tax,46,29,31,30,29,29,48,48,66,60,76,48,40
Tax %,24%,26%,27%,21%,1%,28%,25%,24%,25%,25%,26%,24%,23%
Net Profit +,36,22,24,25,30,22,37,38,52,46,57,37,32
EPS in Rs,1.25,0.76,0.83,0.87,1.02,0.75,1.30,1.32,1.81,1.60,2.01,1.29,1.12
Raw PDF,,,,,,,,,,,,,
