,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,387","1,442","1,372","1,562","1,672","1,682","1,571","1,574","1,655","1,480","1,423","1,497","1,502"
Expenses +,"1,319","1,363","1,319","1,515","1,600","1,585","1,484","1,476","1,541","1,355","1,309","1,365","1,368"
Operating Profit,68,80,52,47,72,97,87,99,114,125,115,133,134
OPM %,5%,6%,4%,3%,4%,6%,6%,6%,7%,8%,8%,9%,9%
Other Income +,-7,-7,16,-14,-9,-13,-2,-5,2,-8,-14,-17,-12
Interest,18,24,25,25,27,34,33,32,36,40,34,32,31
Depreciation,25,25,26,31,20,31,28,29,28,29,26,28,31
Profit before tax,19,23,18,-23,15,19,24,33,52,47,40,55,59
Tax %,17%,32%,14%,-2%,49%,-19%,2%,4%,21%,13%,8%,6%,5%
Net Profit +,15,16,15,-23,8,23,24,32,41,41,37,51,56
EPS in Rs,0.94,0.96,0.92,-1.35,0.46,1.38,1.43,1.90,2.43,2.43,2.21,3.04,3.31
Raw PDF,,,,,,,,,,,,,
