,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,89,47,100,52,101,114,144,125,140,146,193,172,222
Expenses +,66,36,76,42,80,92,114,97,108,113,150,133,172
Operating Profit,23,11,24,9,20,23,30,28,31,33,43,39,50
OPM %,25%,23%,24%,18%,20%,20%,21%,22%,22%,23%,22%,23%,22%
Other Income +,1,0,2,0,0,0,0,0,2,3,1,1,1
Interest,0,0,1,0,0,1,0,0,0,1,1,1,1
Depreciation,3,3,3,3,3,3,4,3,4,5,6,6,6
Profit before tax,20,8,23,7,18,19,27,25,29,29,38,33,43
Tax %,23%,26%,-42%,21%,26%,27%,27%,26%,26%,17%,14%,8%,27%
Net Profit +,16,6,32,5,13,14,19,19,22,24,33,30,32
EPS in Rs,7.95,3.06,16.34,2.61,6.53,7.01,9.83,9.37,10.97,12.07,16.29,15.09,15.75
Raw PDF,,,,,,,,,,,,,
