,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,775","2,340","2,921","2,574","2,742","2,115","2,463","2,580","3,215","2,621","3,306","3,125","3,526"
Expenses +,"2,673","2,268","2,802","2,442","2,609","2,048","2,326","2,505","3,102","2,549","3,157","3,030","3,386"
Operating Profit,103,73,119,131,133,67,136,75,114,72,149,95,139
OPM %,4%,3%,4%,5%,5%,3%,6%,3%,4%,3%,4%,3%,4%
Other Income +,21,3,40,7,3,6,9,16,10,20,12,9,10
Interest,12,9,14,21,27,23,24,31,28,33,34,30,29
Depreciation,19,19,20,19,23,22,23,23,26,23,25,27,36
Profit before tax,93,47,124,99,86,28,98,36,70,36,101,47,84
Tax %,7%,7%,9%,7%,11%,18%,10%,29%,6%,13%,8%,10%,11%
Net Profit +,86,44,113,93,77,23,88,26,65,31,93,42,75
EPS in Rs,5.92,2.84,7.19,5.93,4.32,1.44,4.95,1.11,3.47,1.51,5.11,1.76,2.85
Raw PDF,,,,,,,,,,,,,
