,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"9,849","10,166","10,728","11,836","12,255","13,050","13,764","14,203","14,633","15,041","15,369","15,770","15,860"
Interest,"5,578","5,620","6,026","6,335","6,736","7,346","8,003","8,383","8,609","8,861","9,154","9,345","9,467"
Expenses +,"5,143","4,922","5,098","5,860","6,202","5,161","5,150","5,158","5,378","4,994","5,144","5,102","5,097"
Financing Profit,-872,-376,-396,-359,-683,543,611,661,646,"1,186","1,072","1,323","1,295"
Financing Margin %,-9%,-4%,-4%,-3%,-6%,4%,4%,5%,4%,8%,7%,8%,8%
Other Income +,"1,707","1,732","1,987","1,926","2,161","1,871","2,166","2,113","2,432","2,077","2,602","2,397","2,935"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,835,"1,356","1,590","1,567","1,477","2,415","2,777","2,774","3,078","3,263","3,674","3,721","4,230"
Tax %,-19%,10%,22%,10%,1%,29%,28%,23%,27%,26%,25%,23%,30%
Net Profit +,"1,025","1,311","1,288","1,455","1,520","1,850","2,069","2,207","2,296","2,571","2,801","2,910","2,982"
EPS in Rs,8.22,10.53,10.34,11.68,12.20,14.85,16.61,16.37,17.04,19.08,20.79,21.60,22.14
Gross NPA %,8.47%,8.13%,7.30%,6.53%,5.95%,5.47%,4.97%,4.47%,3.95%,3.77%,3.48%,3.26%,3.09%
Net NPA %,2.27%,2.12%,1.50%,1.00%,0.90%,0.70%,0.60%,0.53%,0.43%,0.39%,0.27%,0.21%,0.19%
Raw PDF,,,,,,,,,,,,,
