,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"5,599","5,464","5,474","5,055","4,127","3,395","3,271","3,307","3,212","3,398","3,813","4,301","4,106"
Expenses +,"5,165","5,074","5,114","4,681","3,881","3,255","3,134","3,189","3,111","3,299","3,682","4,166","3,968"
Operating Profit,434,390,360,374,247,140,137,118,100,99,131,135,138
OPM %,8%,7%,7%,7%,6%,4%,4%,4%,3%,3%,3%,3%,3%
Other Income +,75,15,67,36,3,22,132,43,46,20,13,24,16
Interest,20,22,18,19,20,19,24,37,38,31,36,38,39
Depreciation,60,66,64,80,53,81,83,107,104,106,104,107,107
Profit before tax,429,316,345,312,176,63,161,17,4,-18,4,15,8
Tax %,17%,24%,25%,37%,17%,17%,26%,7%,-359%,-31%,-22%,-158%,-30%
Net Profit +,355,241,260,195,146,52,119,16,17,-12,4,38,10
EPS in Rs,3.39,2.51,2.50,1.81,1.47,0.63,1.25,0.22,0.11,-0.06,0.05,0.34,0.10
Raw PDF,,,,,,,,,,,,,
