,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,272,121,322,368,377,390,461,407,449,461,492,484,544
Expenses +,234,107,261,284,274,294,375,346,352,382,396,401,430
Operating Profit,38,14,61,84,104,96,86,61,97,79,96,83,114
OPM %,14%,12%,19%,23%,27%,25%,19%,15%,22%,17%,20%,17%,21%
Other Income +,8,10,12,9,12,12,13,12,15,13,15,13,14
Interest,3,1,1,1,3,3,4,4,3,4,5,6,4
Depreciation,11,11,11,11,11,11,11,12,12,16,16,16,16
Profit before tax,31,12,61,81,102,93,83,58,96,72,90,76,108
Tax %,33%,25%,25%,25%,26%,25%,26%,26%,24%,28%,25%,25%,26%
Net Profit +,21,9,45,60,76,70,62,43,73,52,67,56,80
EPS in Rs,5.19,2.01,10.39,13.86,17.34,16.02,14.15,9.80,15.95,11.96,15.44,12.93,18.37
Raw PDF,,,,,,,,,,,,,
