,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,425","1,411","1,684","1,797","1,636","1,708","1,778","1,755","1,810","1,823","1,879","1,942","2,022"
Interest,931,930,964,996,"1,008","1,048","1,057","1,087","1,070","1,097","1,118","1,158","1,178"
Expenses +,257,158,366,421,275,201,204,216,170,168,143,155,133
Financing Profit,237,323,355,379,353,459,517,452,570,559,618,629,711
Financing Margin %,17%,23%,21%,21%,22%,27%,29%,26%,31%,31%,33%,32%,35%
Other Income +,0,1,-1,0,2,0,2,1,4,9,1,1,15
Depreciation,14,13,13,13,13,13,11,13,14,13,14,14,14
Profit before tax,224,311,340,367,342,447,507,440,560,554,605,616,711
Tax %,24%,24%,23%,27%,18%,22%,24%,23%,22%,22%,22%,22%,23%
Net Profit +,170,235,263,269,279,347,383,338,439,433,470,483,550
EPS in Rs,6.54,9.06,10.13,10.38,10.76,13.38,14.75,13.03,16.91,16.66,18.08,18.60,21.17
Gross NPA %,,,,,,,,,,,1.24%,,
Net NPA %,,,,,,,,,,,0.84%,,
Raw PDF,,,,,,,,,,,,,
