,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,602","1,701","1,905","2,286","2,256","2,105","2,234","2,436","2,595"
Expenses +,"1,576","1,643","1,877","2,243","2,672","2,004","2,145","2,318","2,804"
Operating Profit,26,58,28,43,-415,101,89,118,-209
OPM %,2%,3%,1%,2%,-18%,5%,4%,5%,-8%
Other Income +,0,0,0,0,468,0,0,0,325
Interest,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0
Profit before tax,26,58,28,43,53,101,89,119,116
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,26,58,28,43,53,101,89,119,116
EPS in Rs,0.29,0.67,0.32,0.49,0.60,1.10,0.97,1.29,1.25
Raw PDF,,,,,,,,,
