,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,757,591,491,428,533,344,424,241,294,391,246,217,317
Expenses +,750,654,563,553,545,464,556,267,292,426,265,222,329
Operating Profit,7,-63,-72,-125,-12,-119,-132,-26,2,-36,-18,-5,-12
OPM %,1%,-11%,-15%,-29%,-2%,-35%,-31%,-11%,1%,-9%,-7%,-2%,-4%
Other Income +,-23,-45,29,32,2,17,17,-16,11,82,22,85,1
Interest,18,27,14,15,14,18,16,16,9,15,10,9,4
Depreciation,12,9,7,5,5,6,5,4,4,5,4,4,4
Profit before tax,-46,-144,-63,-113,-30,-126,-136,-62,0,26,-10,67,-19
Tax %,-25%,24%,-7%,0%,372%,3%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-34,-179,-59,-113,-139,-130,-136,-62,0,26,-10,67,-19
EPS in Rs,-5.08,-26.64,-8.78,-16.74,-20.72,-19.29,-20.20,-9.20,0.06,3.86,-1.42,9.95,-2.76
Raw PDF,,,,,,,,,,,,,
