,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,569,541,614,640,619,723,587,651,655,524,789,682,716
Expenses +,547,452,535,526,567,602,526,610,592,495,642,542,564
Operating Profit,22,88,79,114,51,122,61,41,63,29,147,140,153
OPM %,4%,16%,13%,18%,8%,17%,10%,6%,10%,6%,19%,21%,21%
Other Income +,-8,6,9,4,-39,7,5,6,4,-4,4,8,-4
Interest,16,19,20,22,24,28,27,33,31,32,37,49,42
Depreciation,84,75,80,50,76,70,75,80,85,71,72,72,79
Profit before tax,-85,-0,-12,46,-88,29,-36,-66,-49,-78,42,27,28
Tax %,-48%,"-1,437%",-18%,-3%,-19%,42%,13%,-10%,42%,0%,21%,83%,-56%
Net Profit +,-45,4,-10,47,-71,17,-41,-60,-70,-78,33,5,43
EPS in Rs,-2.85,0.26,-0.64,3.00,-4.51,1.08,-2.61,-3.80,-4.46,-4.95,2.11,0.30,2.75
Raw PDF,,,,,,,,,,,,,
