,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,460,457,531,472,485,458,440,449,506,555,458,538,564
Expenses +,385,371,441,385,405,373,352,353,388,459,364,409,418
Operating Profit,76,86,90,86,80,85,88,96,118,96,94,129,146
OPM %,16%,19%,17%,18%,16%,19%,20%,21%,23%,17%,20%,24%,26%
Other Income +,3,0,1,0,1,0,1,1,2,2,4,5,-2
Interest,5,4,6,5,6,4,4,4,5,5,6,10,7
Depreciation,14,14,17,16,16,17,18,19,19,20,21,23,23
Profit before tax,59,68,69,65,59,64,67,74,96,74,72,101,115
Tax %,18%,24%,26%,27%,27%,26%,23%,29%,32%,25%,24%,26%,23%
Net Profit +,49,52,51,48,43,47,52,53,65,55,55,74,88
EPS in Rs,,,,5.26,4.73,5.20,5.72,5.82,7.20,6.12,6.03,8.16,9.75
Raw PDF,,,,,,,,,,,,,
