,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,121,61,64,159,149,149,135,167,161,246,164,197,173
Expenses +,94,65,65,146,130,126,109,139,132,212,131,165,140
Operating Profit,27,-4,-1,14,19,23,26,28,29,34,34,31,33
OPM %,22%,-7%,-1%,9%,12%,16%,19%,17%,18%,14%,20%,16%,19%
Other Income +,2,0,1,1,2,1,1,1,1,2,1,1,2
Interest,5,4,5,5,6,6,6,6,6,6,5,5,4
Depreciation,8,8,8,8,8,8,8,8,8,8,8,9,9
Profit before tax,16,-16,-13,1,7,11,13,15,17,22,22,20,22
Tax %,37%,-154%,-20%,13%,21%,24%,31%,21%,26%,26%,25%,29%,24%
Net Profit +,9,6,-13,-2,4,6,9,12,11,17,16,14,18
EPS in Rs,1.06,0.73,-1.51,-0.24,0.44,0.73,1.10,1.38,1.36,2.04,1.95,1.66,2.15
Raw PDF,,,,,,,,,,,,,
