,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,368,421,706,"1,126","1,805","2,722"
Expenses +,325,379,611,956,"1,548","2,311"
Operating Profit,43,42,95,170,257,411
OPM %,12%,10%,13%,15%,14%,15%
Other Income +,1,4,4,11,56,107
Interest,25,25,27,36,56,101
Depreciation,8,10,13,19,25,45
Profit before tax,11,11,59,126,232,372
Tax %,17%,10%,29%,24%,21%,21%
Net Profit +,9,10,42,95,183,293
EPS in Rs,13.94,14.31,9.03,16.37,28.68,45.84
Dividend Payout %,0%,0%,0%,0%,0%,0%
