,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,758,644,768,786,994,808,910,854,917,790,891,944,"1,018"
Expenses +,508,472,552,555,680,596,656,622,600,620,646,660,674
Operating Profit,250,173,216,231,314,212,254,232,317,170,245,284,344
OPM %,33%,27%,28%,29%,32%,26%,28%,27%,35%,22%,27%,30%,34%
Other Income +,15,16,15,17,23,24,14,26,16,50,16,18,19
Interest,6,9,12,14,10,10,13,11,13,12,13,12,16
Depreciation,80,86,90,95,96,102,105,108,111,107,111,109,106
Profit before tax,179,93,130,140,231,123,151,138,209,101,137,181,240
Tax %,17%,20%,22%,22%,23%,24%,23%,19%,10%,25%,23%,27%,24%
Net Profit +,148,74,102,110,179,93,116,112,189,76,106,131,183
EPS in Rs,3.69,1.84,2.54,2.73,4.45,2.32,2.90,2.77,4.69,1.88,2.64,3.26,4.55
Raw PDF,,,,,,,,,,,,,
