,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,203,229,265,342,291,269,268
Expenses +,196,221,266,344,287,317,324
Operating Profit,7,8,-1,-1,4,-48,-56
OPM %,4%,4%,-0%,-0%,1%,-18%,-21%
Other Income +,3,2,7,4,3,5,11
Interest,5,5,5,7,7,7,7
Depreciation,1,1,1,2,3,3,4
Profit before tax,5,5,-1,-6,-3,-53,-57
Tax %,1%,-2%,5%,4%,8%,4%,-1%
Net Profit +,5,5,-1,-7,-4,-55,-56
EPS in Rs,0.91,0.92,-0.12,-1.16,-0.63,-7.12,-7.21
Raw PDF,,,,,,,
