,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,567,620,643,657,724
Expenses +,405,494,454,476,498
Operating Profit,162,126,189,181,226
OPM %,29%,20%,29%,28%,31%
Other Income +,6,15,5,27,3
Interest,26,32,22,21,21
Depreciation,19,27,28,28,28
Profit before tax,124,81,144,160,180
Tax %,18%,21%,21%,19%,18%
Net Profit +,102,64,113,130,148
EPS in Rs,5.94,3.72,6.59,7.56,8.61
Raw PDF,,,,,
