,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,497","1,487","1,683","1,883","1,872","1,522","1,494","1,322",843,"1,218","1,413",999,"1,052"
Expenses +,"1,367","1,326","1,452","1,641","1,616","1,308","1,281","1,232",812,"1,134","1,268",892,927
Operating Profit,130,161,231,242,256,214,213,90,31,84,145,107,125
OPM %,9%,11%,14%,13%,14%,14%,14%,7%,4%,7%,10%,11%,12%
Other Income +,0,-35,-17,-16,8,30,11,12,24,8,5,-5,-24
Interest,68,68,77,78,89,92,95,94,71,71,84,58,65
Depreciation,87,76,76,78,78,81,85,84,81,82,83,80,79
Profit before tax,-25,-18,61,70,97,71,44,-76,-97,-61,-17,-36,-43
Tax %,0%,33%,34%,33%,35%,27%,27%,-22%,-15%,-21%,-18%,-33%,-7%
Net Profit +,-25,-24,40,47,63,52,32,-59,-82,-48,-14,-24,-40
EPS in Rs,-0.55,-0.55,1.10,1.28,1.63,1.35,0.85,-1.43,-2.05,-0.98,-0.29,-0.49,-0.82
Raw PDF,,,,,,,,,,,,,
