,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,117,120,132,145,141,148,156,166,172,179,209,228,232
Expenses +,82,85,95,103,111,120,125,129,131,141,164,178,177
Operating Profit,36,35,37,43,30,28,31,37,40,38,45,50,55
OPM %,31%,29%,28%,29%,21%,19%,20%,22%,24%,21%,22%,22%,24%
Other Income +,8,10,9,22,15,18,17,23,16,17,23,15,21
Interest,1,1,1,1,1,1,1,1,1,1,1,0,5
Depreciation,2,2,2,2,2,2,2,2,2,3,9,8,9
Profit before tax,40,42,43,62,42,43,45,57,53,52,58,56,62
Tax %,12%,25%,14%,15%,19%,23%,24%,18%,15%,25%,30%,24%,18%
Net Profit +,36,31,37,52,34,33,34,47,45,39,41,43,51
EPS in Rs,1.77,1.57,1.86,2.58,1.67,1.60,1.66,2.26,2.20,1.89,1.94,2.03,2.59
Raw PDF,,,,,,,,,,,,,
