,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,236","1,367","1,480","1,517","1,597","1,610","1,634","1,754","1,808","1,810","1,782","2,218"
Expenses +,"1,196","1,304","1,362","1,416","1,484","1,489","1,521","1,639","1,713","1,725","1,672","2,023"
Operating Profit,40,63,118,100,113,121,113,115,95,86,111,194
OPM %,3%,5%,8%,7%,7%,8%,7%,7%,5%,5%,6%,9%
Other Income +,7,9,6,15,17,15,12,20,19,7,14,13
Interest,8,10,11,13,14,14,12,13,12,16,16,15
Depreciation,14,15,17,14,16,17,16,16,16,17,18,19
Profit before tax,25,48,95,88,99,105,96,106,86,60,90,173
Tax %,26%,27%,25%,26%,25%,29%,26%,26%,25%,17%,24%,25%
Net Profit +,18,35,71,65,74,74,71,79,64,50,69,129
EPS in Rs,7.58,14.63,29.86,6.82,7.77,6.57,6.29,6.98,5.71,4.38,6.06,11.42
Raw PDF,,,,,,,,,,,,
