,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,444,311,413,348,414,320,607,454,605,388,617,458,414
Expenses +,131,345,-34,47,418,290,-74,230,269,210,353,211,-80
Operating Profit,313,-34,447,300,-4,30,681,224,337,178,265,247,493
OPM %,70%,-11%,108%,86%,-1%,9%,112%,49%,56%,46%,43%,54%,119%
Other Income +,5,5,12,3,12,4,5,14,107,17,167,-0,1
Interest,201,168,162,150,162,144,145,146,136,135,135,131,134
Depreciation,18,17,18,21,18,18,21,21,21,20,22,21,21
Profit before tax,99,-214,279,134,-172,-128,520,71,287,40,275,94,340
Tax %,130%,-8%,25%,18%,40%,1%,66%,45%,45%,318%,33%,109%,23%
Net Profit +,-30,-197,209,109,-241,-129,174,39,157,-88,185,-9,260
EPS in Rs,-0.14,-0.99,0.78,0.42,-1.16,-0.64,0.44,0.08,0.61,-0.41,0.32,-0.12,0.84
Raw PDF,,,,,,,,,,,,,
