,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,0.00,0.00,1.68,0.00,0.09,0.24,0.12,0.13,0.13,0.13,0.20,0.23,0.24
Expenses +,1.29,9.27,2.65,2.05,2.21,2.93,2.22,2.31,2.24,7.00,2.53,2.44,2.55
Operating Profit,-1.29,-9.27,-0.97,-2.05,-2.12,-2.69,-2.10,-2.18,-2.11,-6.87,-2.33,-2.21,-2.31
OPM %,,,-57.74%,,"-2,355.56%","-1,120.83%","-1,750.00%","-1,676.92%","-1,623.08%","-5,284.62%","-1,165.00%",-960.87%,-962.50%
Other Income +,1.45,1.15,1.21,1.58,1.87,1.87,1.95,1.93,1.95,1.62,1.79,1.76,1.59
Interest,1.79,1.45,1.68,1.70,1.71,1.60,1.61,1.63,1.64,1.56,1.54,1.57,1.58
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02
Profit before tax,-1.63,-9.57,-1.44,-2.17,-1.96,-2.42,-1.76,-1.88,-1.80,-6.81,-2.10,-2.04,-2.32
Tax %,0.00%,-39.50%,0.00%,0.00%,0.00%,-63.64%,0.00%,0.00%,0.00%,-35.98%,0.00%,0.00%,0.00%
Net Profit +,-1.63,-5.79,-1.45,-2.18,-1.96,-0.89,-1.77,-1.88,-1.81,-4.36,-2.10,-2.04,-2.32
EPS in Rs,-0.06,-0.20,-0.05,-0.08,-0.07,-0.03,-0.06,-0.07,-0.06,-0.15,-0.07,-0.07,-0.08
Raw PDF,,,,,,,,,,,,,
