,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,155,144,81,89,49,71,25,42,427,316,169,162,206
Expenses +,149,98,71,71,60,79,39,57,274,285,132,113,137
Operating Profit,6,45,10,18,-11,-8,-14,-15,153,31,37,49,69
OPM %,4%,32%,12%,20%,-22%,-12%,-57%,-35%,36%,10%,22%,30%,33%
Other Income +,11,8,11,10,8,18,12,19,8,12,13,13,13
Interest,22,20,18,20,29,17,16,17,18,10,10,9,12
Depreciation,2,2,2,2,3,2,2,2,3,3,4,3,3
Profit before tax,-8,31,1,6,-34,-9,-20,-15,140,30,37,49,67
Tax %,-44%,20%,-80%,67%,-18%,-29%,-31%,-36%,28%,24%,6%,14%,25%
Net Profit +,-4,25,2,2,-28,-7,-14,-10,101,23,35,43,50
EPS in Rs,-0.29,1.70,0.16,0.14,-1.91,-0.46,-0.95,-0.66,6.92,1.56,2.36,2.90,3.44
Raw PDF,,,,,,,,,,,,,
