,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,93,85,181,248
Expenses +,60,67,79,104
Operating Profit,33,18,102,145
OPM %,35%,22%,56%,58%
Other Income +,1,-0,1,2
Interest,1,1,1,2
Depreciation,5,5,6,7
Profit before tax,28,12,95,137
Tax %,22%,27%,26%,24%
Net Profit +,22,9,71,104
EPS in Rs,,,,14.68
Dividend Payout %,0%,16%,5%,7%
