,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,111,119,122,122,135,134,150,141,131,133,136
Expenses +,92,104,107,112,112,111,121,115,112,117,111
Operating Profit,19,15,15,10,23,23,29,26,18,17,24
OPM %,17%,13%,12%,8%,17%,17%,19%,18%,14%,13%,18%
Other Income +,0,1,1,1,1,0,2,-0,1,4,-0
Interest,1,1,1,1,2,2,2,1,1,1,1
Depreciation,3,3,3,3,5,5,5,6,4,5,5
Profit before tax,16,12,12,6,17,17,24,18,13,15,18
Tax %,25%,23%,23%,24%,23%,20%,22%,25%,27%,16%,24%
Net Profit +,12,9,9,5,14,14,19,13,10,12,14
EPS in Rs,9.82,7.75,8.38,4.39,11.84,12.25,16.15,11.59,8.85,10.98,12.13
Raw PDF,,,,,,,,,,,
